Date,Particulars,Vch Type,Vch No.,Debit Amount,Credit Amount
,Cash,,,,4900.00 Cr
14-07-2025,Wages Expenses A/C,Payment,470,1400,
,Cash,,,,1400.00 Cr
14-07-2025,Wages Expenses A/C,Payment,471,1300,
,Cash,,,,1300.00 Cr
14-07-2025,Shree Balaji Foods Bassi Jaipur,Payment,472,45432,
,HDFC Bank,,,,45432.00 Cr
14-07-2025,Machinery Reparing,Payment,473,14160,
,Punjab National Bank - New,,,,14160.00 Cr
14-07-2025,Convence Expensece,Payment,474,2200,
,Cash,,,,2200.00 Cr
14-07-2025,Tarachand Ji -Yadav Khejroli,Receipt,427,,44900
,HDFC Bank,,,44900.00 Dr,
14-07-2025,Abhishek Treding Company  Fathenegar,Receipt,428,,238000
,HDFC Bank,,,238000.00 Dr,
14-07-2025,Shyam Baat Bhandar - Kanwarpura,Receipt,429,,9500
,Cash,,,9500.00 Dr,
14-07-2025,Jai Jagdamba Treding Company Nangal Bhirda,Receipt,430,,9500
,Cash,,,9500.00 Dr,
14-07-2025,Vinayak Brothers - Renwal,Sales,2681/25-26,94180,
,Sales Account,,,,94180.00 Cr
14-07-2025,Maa Vindyavaisni Pashu Ahar Kendra,Purchase,85,,226567
,Purchase Account,,,226567.00 Dr,
14-07-2025,Shri Balaji Enterprises - Uttar Pradesh,Purchase,86,,170337
,Purchase Account,,,170337.00 Dr,
15-07-2025,Wages Expenses A/C,Payment,475,1400,
,Cash,,,,1400.00 Cr
15-07-2025,Wages Expenses A/C,Payment,476,4950,
,Cash,,,,4950.00 Cr
15-07-2025,Wages Expenses A/C,Payment,477,1300,
,Cash,,,,1300.00 Cr
15-07-2025,Machinery Reparing,Payment,478,2150,
,Cash,,,,2150.00 Cr
15-07-2025,Electricity and Water Expenses,Payment,479,66276,
,HDFC Bank,,,,66276.00 Cr
15-07-2025,BUSINESS PROMOTION EXPENSES,Payment,480,39848,
,HDFC Bank,,,,39848.00 Cr
15-07-2025,R S Oil Mils,Payment,481,48901,
,Punjab National Bank - New,,,,48901.00 Cr
15-07-2025,Jurashik Minral,Payment,482,35675,
,Punjab National Bank - New,,,,35675.00 Cr
15-07-2025,Singal Dall Mill  Jaipur,Payment,483,46050,
,Punjab National Bank - New,,,,46050.00 Cr
15-07-2025,G.K.N - Industries,Receipt,431,,42811
,HDFC Bank,,,42811.00 Dr,
15-07-2025,PRABHA MAHILA KISSAN PRODUSER KHANDER,Receipt,432,,35000
,HDFC Bank,,,35000.00 Dr,
15-07-2025,Shyam Baat Bhandar - Kanwarpura,Receipt,433,,9500
,Cash,,,9500.00 Dr,
15-07-2025,Jai Jagdamba Treding Company Nangal Bhirda,Receipt,434,,9500
,Cash,,,9500.00 Dr,
15-07-2025,Vetkind Animal Health India,Purchase,87,,24000
,Purchase Account,,,24000.00 Dr,
15-07-2025,Vetkind Animal Health India,Purchase,88,,155000
,Purchase Account,,,155000.00 Dr,
15-07-2025,Vetkind Animal Health India,Purchase,89,,25000
,Purchase Account,,,25000.00 Dr,
16-07-2025,Wages Expenses A/C,Payment,484,4800,
,Cash,,,,4800.00 Cr
16-07-2025,Wages Expenses A/C,Payment,485,1400,
,Cash,,,,1400.00 Cr
16-07-2025,Wages Expenses A/C,Payment,486,1300,
,Cash,,,,1300.00 Cr
16-07-2025,Vetkind Animal Health India,Payment,487,47490,
,HDFC Bank,,,,47490.00 Cr
16-07-2025,Convence Expensece,Payment,488,1500,
,Cash,,,,1500.00 Cr
16-07-2025,Shri Shyam Baat Bhandar (Bad Ke Bala Ji ),Receipt,435,,17903
,HDFC Bank,,,17903.00 Dr,
16-07-2025,Hariyana Baat  Bhandar Dolaitpura,Receipt,436,,10000
,HDFC Bank,,,10000.00 Dr,
16-07-2025,Shyam Baat Bhandar - Kanwarpura,Receipt,437,,9500
,Cash,,,9500.00 Dr,
16-07-2025,Jai Jagdamba Treding Company Nangal Bhirda,Receipt,438,,9500
,Cash,,,9500.00 Dr,
16-07-2025,Patel Enterprises  Rojda,Sales,2682/25-26,61900,
,Sales Account,,,,61900.00 Cr
16-07-2025,"Kailash Chand Deen Dayal - Kasera, Shreemodhopur",Sales,2683/25-26,53860,
,Sales Account,,,,53860.00 Cr
16-07-2025,Shri Shyam Baat Bhandar (Bad Ke Bala Ji ),Sales,2684/25-26,22838,
,Sales Account,,,,22838.00 Cr
16-07-2025,Kharwash Trading Company (Muhana ),Sales,2685/25-26,57810,
,Sales Account,,,,57810.00 Cr
16-07-2025,Jain & Brothers - Muhana Mandi,Sales,2686/25-26,62715,
,Sales Account,,,,62715.00 Cr
17-07-2025,Wages Expenses A/C,Payment,489,4950,
,Cash,,,,4950.00 Cr
17-07-2025,Wages Expenses A/C,Payment,490,620,
,Cash,,,,620.00 Cr
17-07-2025,Wages Expenses A/C,Payment,491,1100,
,Cash,,,,1100.00 Cr
17-07-2025,Tour & Travel,Payment,492,2540,
,Cash,,,,2540.00 Cr
17-07-2025,Ms Manoj Kumar Navratan Up,Payment,493,790657,
,HDFC Bank,,,,790657.00 Cr
17-07-2025,Maa Vindyavaisni Pashu Ahar Kendra,Payment,494,226567,
,Punjab National Bank - New,,,,226567.00 Cr
17-07-2025,Shri Balaji Enterprises - Uttar Pradesh,Payment,495,170337,
,Punjab National Bank - New,,,,170337.00 Cr
17-07-2025,Arihant  Kumar Rahul Kumar  Medta Seety - S,Receipt,439,,274167
,HDFC Bank,,,274167.00 Dr,
17-07-2025,Anjani Trading Company  -(Beawar),Receipt,440,,52162
,HDFC Bank,,,52162.00 Dr,
17-07-2025,Lavik Traders,Receipt,441,,58725
,HDFC Bank,,,58725.00 Dr,
17-07-2025,Patel Enterprises  Rojda,Receipt,442,,123800
,HDFC Bank,,,123800.00 Dr,
17-07-2025,Kedar Kirana Stor Benadamod,Receipt,443,,50000
,HDFC Bank,,,50000.00 Dr,
17-07-2025,Shyam Baat Bhandar - Kanwarpura,Receipt,444,,9500
,Cash,,,9500.00 Dr,
17-07-2025,Jai Jagdamba Treding Company Nangal Bhirda,Receipt,445,,9500
,Cash,,,9500.00 Dr,
18-07-2025,Wages Expenses A/C,Payment,496,1300,
,Cash,,,,1300.00 Cr
18-07-2025,Wages Expenses A/C,Payment,497,1400,
,Cash,,,,1400.00 Cr
18-07-2025,Wages Expenses A/C,Payment,498,4850,
,Cash,,,,4850.00 Cr
18-07-2025,Office Expenses,Payment,499,2260,
,Cash,,,,2260.00 Cr
18-07-2025,Telephone Exp,Payment,500,1070,
,HDFC Bank,,,,1070.00 Cr
18-07-2025,Jaipur Packers - Rajasthan,Payment,501,147498,
,Punjab National Bank - New,,,,147498.00 Cr
18-07-2025,Jaipur Packers - Rajasthan,Payment,502,22166,
,Punjab National Bank - New,,,,22166.00 Cr
18-07-2025,"Kailash Chand Deen Dayal - Kasera, Shreemodhopur",Receipt,446,,53860
,Punjab National Bank - New,,,53860.00 Dr,
18-07-2025,Shyam Baat Bhandar - Kanwarpura,Receipt,447,,6145
,Cash,,,6145.00 Dr,
18-07-2025,Jai Jagdamba Treding Company Nangal Bhirda,Receipt,448,,9500
,Cash,,,9500.00 Dr,
18-07-2025,G.K.N - Industries,Sales,2687/25-26,42811,
,Sales Account,,,,42811.00 Cr
18-07-2025,Shyam Baat Bhandar - Kanwarpura,Sales,2688/25-26,63800,
,Sales Account,,,,63800.00 Cr
19-07-2025,Wages Expenses A/C,Payment,503,1300,
,Cash,,,,1300.00 Cr
19-07-2025,Wages Expenses A/C,Payment,504,1400,
,Cash,,,,1400.00 Cr
19-07-2025,Wages Expenses A/C,Payment,505,4900,
,Cash,,,,4900.00 Cr
19-07-2025,Printing & Stationary,Payment,506,2115,
,Cash,,,,2115.00 Cr
19-07-2025,Dugya Cattle Feed - Muhana,Receipt,449,,75000
,HDFC Bank,,,75000.00 Dr,
19-07-2025,Shri Shyam Baat Bhandar (Bad Ke Bala Ji ),Receipt,450,,22838
,HDFC Bank,,,22838.00 Dr,
19-07-2025,Jai Jagdamba Treding Company Nangal Bhirda,Receipt,451,,9500
,Cash,,,9500.00 Dr,
19-07-2025,Shri Shyam Baat Bhandar (Bad Ke Bala Ji ),Sales,2689/25-26,17535,
,Sales Account,,,,17535.00 Cr
19-07-2025,SHRI BALAJI ENTERPRISES-TIGARIYA,Sales,2690/25-26,68745,
,Sales Account,,,,68745.00 Cr
19-07-2025,G.K.N - Industries,Sales,2691/25-26,37167,
,Sales Account,,,,37167.00 Cr
19-07-2025,Shri Balaji Enterprises - Uttar Pradesh,Purchase,90,,166870
,Purchase Account,,,166870.00 Dr,
19-07-2025,DILIP UDYOUG,Purchase,91,,40986
,Purchase Account,,,40986.00 Dr,
20-07-2025,Goyal Treders Fhagi,Sales,2692/25-26,77418,
,Sales Account,,,,77418.00 Cr
21-07-2025,Ms Manoj Kumar Navratan Up,Payment,507,2976,
,HDFC Bank,,,,2976.00 Cr
21-07-2025,Wages Expenses A/C,Payment,508,7500,
,Cash,,,,7500.00 Cr
21-07-2025,Tour & Travel,Payment,509,2350,
,Cash,,,,2350.00 Cr
21-07-2025,Jai Jagdamba Treding Company Nangal Bhirda,Receipt,452,,8990
,Cash,,,8990.00 Dr,
21-07-2025,Balaji Trading  Company  - Lalshot,Sales,2693/25-26,71818,
,Sales Account,,,,71818.00 Cr
21-07-2025,Lavik Traders,Sales,2694/25-26,36344,
,Sales Account,,,,36344.00 Cr
21-07-2025,Shri Balaji Agro Industries - Muhana,Sales,2695/25-26,21650,
,Sales Account,,,,21650.00 Cr
22-07-2025,Shri Balaji Enterprises - Uttar Pradesh,Payment,510,166870,
,Punjab National Bank - New,,,,166870.00 Cr
22-07-2025,DILIP UDYOUG,Payment,511,40986,
,Punjab National Bank - New,,,,40986.00 Cr
22-07-2025,Wages Expenses A/C,Payment,512,7650,
,Cash,,,,7650.00 Cr
22-07-2025,Convence Expensece,Payment,513,3000,
,Cash,,,,3000.00 Cr
22-07-2025,Office Expenses,Payment,514,150,
,Cash,,,,150.00 Cr
22-07-2025,Balaji Trading  Company  - Lalshot,Receipt,453,,71818
,HDFC Bank,,,71818.00 Dr,
22-07-2025,Anjani Trading Company  -(Beawar),Sales,2696/25-26,58450,
,Sales Account,,,,58450.00 Cr
23-07-2025,Wages Expenses A/C,Payment,515,7600,
,Cash,,,,7600.00 Cr
23-07-2025,Tour & Travel,Payment,516,2210,
,Cash,,,,2210.00 Cr
23-07-2025,Rakesh Kirana Store - Khejroli,Receipt,454,,70890
,HDFC Bank,,,70890.00 Dr,
23-07-2025,Choudhary Pashu Aahar  Parbatsar,Receipt,455,,20000
,HDFC Bank,,,20000.00 Dr,
23-07-2025,Anukumar Mukesh Kumar Malpura,Receipt,456,,40000
,Punjab National Bank - New,,,40000.00 Dr,
23-07-2025,Lavik Traders,Sales,2697/25-26,41423,
,Sales Account,,,,41423.00 Cr
23-07-2025,Kharwash Trading Company (Muhana ),Sales,2698/25-26,57810,
,Sales Account,,,,57810.00 Cr
23-07-2025,Murlidhar Ji Yadav- Khejroli,Sales,2699/25-26,12700,
,Sales Account,,,,12700.00 Cr
23-07-2025,Tarachand Ji -Yadav Khejroli,Sales,2700/25-26,44900,
,Sales Account,,,,44900.00 Cr
23-07-2025,Ishwar and Company Surajpool,Sales,2701/25-26,77175,
,Sales Account,,,,77175.00 Cr
24-07-2025,Machinery Reparing,Payment,517,18338,
,HDFC Bank,,,,18338.00 Cr
24-07-2025,Wages Expenses A/C,Payment,518,7600,
,Cash,,,,7600.00 Cr
24-07-2025,Tour & Travel,Payment,519,1500,
,Cash,,,,1500.00 Cr
24-07-2025,Office Expenses,Payment,520,1450,
,Cash,,,,1450.00 Cr
24-07-2025,S Kumar & Company - Navalgarh,Receipt,457,,70000
,HDFC Bank,,,70000.00 Dr,
24-07-2025,Haritwal Pashu Ahar Vatika,Receipt,458,,9900
,Cash,,,9900.00 Dr,
25-07-2025,Wages Expenses A/C,Payment,521,7500,
,Cash,,,,7500.00 Cr
25-07-2025,Machinery Reparing,Payment,522,1650,
,Cash,,,,1650.00 Cr
25-07-2025,Shri Chand Pasu Aahar Malpura,Receipt,459,,193628
,HDFC Bank,,,193628.00 Dr,
25-07-2025,Haritwal Pashu Ahar Vatika,Receipt,460,,9900
,Cash,,,9900.00 Dr,
26-07-2025,Electricity and Water Expenses,Payment,523,2393,
,HDFC Bank,,,,2393.00 Cr
26-07-2025,Wages Expenses A/C,Payment,524,7550,
,Cash,,,,7550.00 Cr
26-07-2025,Office Expenses,Payment,525,1960,
,Cash,,,,1960.00 Cr
26-07-2025,Shri Shyam Baat Bhandar (Bad Ke Bala Ji ),Receipt,461,,17535
,HDFC Bank,,,17535.00 Dr,
26-07-2025,Vinayak Genral Stor Ranwal,Receipt,462,,54500
,HDFC Bank,,,54500.00 Dr,
26-07-2025,Vinayak Genral Stor Ranwal,Receipt,463,,15178
,HDFC Bank,,,15178.00 Dr,
26-07-2025,Moti Ratan Trading Company Bhilwara,Receipt,464,,100000
,HDFC Bank,,,100000.00 Dr,
26-07-2025,Haritwal Pashu Ahar Vatika,Receipt,465,,9900
,Cash,,,9900.00 Dr,
26-07-2025,Shri Namokaar Trading Company,Receipt,466,,5000
,Cash,,,5000.00 Dr,
26-07-2025,Shri Shyam Baat Bhandar (Bad Ke Bala Ji ),Sales,2702/25-26,18393,
,Sales Account,,,,18393.00 Cr
26-07-2025,Vinayak Genral Stor Ranwal,Sales,2703/25-26,69678,
,Sales Account,,,,69678.00 Cr
26-07-2025,M Choudhry Trading Company - Jalpali,Sales,2704/25-26,59600,
,Sales Account,,,,59600.00 Cr
26-07-2025,KAMAL TRADING CO Dudu,Sales,2705/25-26,60800,
,Sales Account,,,,60800.00 Cr
26-07-2025,Shri Chand Pasu Aahar Malpura,Sales,2707/2024-2025,114720,
,Sales Account,,,,114720.00 Cr
26-07-2025,Shyam Khandelwal Jaipur,Sales,2706/2024-25,60940,
,Sales Account,,,,60940.00 Cr
26-07-2025,Mangal Treding Company Kukerkheda Mhandi,Purchase,92,,4872
,Purchase Account,,,4872.00 Dr,
27-07-2025,SHRI BALAJI ENTERPRISES-TIGARIYA,Receipt,467,,61036
,HDFC Bank,,,61036.00 Dr,
27-07-2025,Love General Stor    Tunga,Receipt,468,,20000
,HDFC Bank,,,20000.00 Dr,
28-07-2025,Wages Expenses A/C,Payment,526,7600,
,Cash,,,,7600.00 Cr
28-07-2025,Tour & Travel,Payment,527,2070,
,Cash,,,,2070.00 Cr
28-07-2025,Murlidhar Ji Yadav- Khejroli,Receipt,469,,10000
,HDFC Bank,,,10000.00 Dr,
28-07-2025,Giriraj Trading Company - Alwar,Receipt,470,,50000
,Punjab National Bank - New,,,50000.00 Dr,
28-07-2025,Haritwal Pashu Ahar Vatika,Receipt,471,,9900
,Cash,,,9900.00 Dr,
29-07-2025,Machinery Reparing,Payment,528,78880,
,HDFC Bank,,,,78880.00 Cr
29-07-2025,Wages Expenses A/C,Payment,529,7650,
,Cash,,,,7650.00 Cr
29-07-2025,Convence Expensece,Payment,530,2300,
,Cash,,,,2300.00 Cr
29-07-2025,Shri Shyam Baat Bhandar (Bad Ke Bala Ji ),Receipt,472,,18393
,HDFC Bank,,,18393.00 Dr,
29-07-2025,Haritwal Pashu Ahar Vatika,Receipt,473,,9900
,Cash,,,9900.00 Dr,
29-07-2025,Shri Shyam Baat Bhandar (Bad Ke Bala Ji ),Sales,2708/25-26,14070,
,Sales Account,,,,14070.00 Cr
29-07-2025,Arihant  Kumar Rahul Kumar  Medta Seety - S,Sales,2709/25-26,115873,
,Sales Account,,,,115873.00 Cr
29-07-2025,Ganesh Pashuahar Chaksu,Sales,2710/25-26,175760,
,Sales Account,,,,175760.00 Cr
29-07-2025,R S Oil Mils,Purchase,93,,67910
,Purchase Account,,,67910.00 Dr,
30-07-2025,Car Loan - Hyrider,Payment,531,48357,
,Punjab National Bank - New,,,,48357.00 Cr
30-07-2025,Wages Expenses A/C,Payment,532,7600,
,Cash,,,,7600.00 Cr
30-07-2025,Machinery Reparing,Payment,533,2350,
,Cash,,,,2350.00 Cr
30-07-2025,KAMAL TRADING CO Dudu,Receipt,474,,65000
,HDFC Bank,,,65000.00 Dr,
30-07-2025,Vinayak Brothers - Renwal,Receipt,475,,93700
,Vinayak Brothers - Renwal,,,,92770.00 Cr
,HDFC Bank,,,186470.00 Dr,
30-07-2025,G.K.N - Industries,Receipt,476,,42811
,HDFC Bank,,,42811.00 Dr,
30-07-2025,Dadu Dayal Pasu Aahar Sambhar,Receipt,477,,50000
,HDFC Bank,,,50000.00 Dr,
30-07-2025,M Choudhry Trading Company - Jalpali,Receipt,478,,59700
,HDFC Bank,,,59700.00 Dr,
30-07-2025,Anjani Trading Company  -(Beawar),Receipt,479,,58385
,HDFC Bank,,,58385.00 Dr,
30-07-2025,Lavik Traders,Receipt,480,,81140
,HDFC Bank,,,81140.00 Dr,
30-07-2025,Haritwal Pashu Ahar Vatika,Receipt,481,,8370
,Cash,,,8370.00 Dr,
30-07-2025,Love General Stor    Tunga,Sales,2711/25-26,58400,
,Sales Account,,,,58400.00 Cr
30-07-2025,Shiv Trading Comnay Vatika,Sales,2712/25-26,73170,
,Sales Account,,,,73170.00 Cr
31-07-2025,R S Oil Mils,Payment,534,67910,
,HDFC Bank,,,,67910.00 Cr
31-07-2025,Mangal Treding Company Kukerkheda Mhandi,Payment,535,9510,
,Punjab National Bank - New,,,,9510.00 Cr
31-07-2025,Machinery Reparing,Payment,536,9800,
,Punjab National Bank - New,,,,9800.00 Cr
31-07-2025,BANK  EXPENSES- PNB BANK,Payment,537,222.17,
,Punjab National Bank - New,,,,222.17 Cr
31-07-2025,Wages Expenses A/C,Payment,538,7600,
,Cash,,,,7600.00 Cr
31-07-2025,Printing & Stationary,Payment,539,1860,
,Cash,,,,1860.00 Cr
31-07-2025,Goyal Treders Fhagi,Receipt,482,,77700
,HDFC Bank,,,77700.00 Dr,
31-07-2025,Dugya Cattle Feed - Muhana,Sales,2713/25-26,68100,
,Sales Account,,,,68100.00 Cr
31-07-2025,G.K.N - Industries,Sales,2714/25-26,42811,
,Sales Account,,,,42811.00 Cr
31-07-2025,Anjani Trading Company  -(Beawar),Sales,2715/25-26,55394,
,Sales Account,,,,55394.00 Cr
,Loading Exp,,,,
01-08-2025,Machinery Reparing,Payment,540,4062,
,Punjab National Bank - New,,,,4062.00 Cr
01-08-2025,Machinery Reparing,Payment,541,5054,
,Punjab National Bank - New,,,,5054.00 Cr
01-08-2025,Office Expenses,Payment,542,13110,
,Punjab National Bank - New,,,,13110.00 Cr
01-08-2025,Office Expenses,Payment,543,1850,
,Cash,,,,1850.00 Cr
01-08-2025,Wages Expenses A/C,Payment,544,7550,
,Cash,,,,7550.00 Cr
01-08-2025,BUSINESS PROMOTION EXPENSES,Payment,545,23849,
,HDFC Bank,,,,23849.00 Cr
01-08-2025,Shri Shyam Baat Bhandar (Bad Ke Bala Ji ),Receipt,483,,14070
,HDFC Bank,,,14070.00 Dr,
01-08-2025,Choudhary Pashu Aahar  Parbatsar,Receipt,484,,25600
,HDFC Bank,,,25600.00 Dr,
01-08-2025,Godha Enterprises (Hingoniya),Receipt,485,,9500
,Cash,,,9500.00 Dr,
01-08-2025,Shri Shyam Baat Bhandar (Bad Ke Bala Ji ),Sales,2716/25-26,13213,
,Sales Account,,,,13213.00 Cr
01-08-2025,Kharwash Trading Company (Muhana ),Sales,2717/25-26,66764,
,Sales Account,,,,66764.00 Cr
01-08-2025,Natural Guar Gum Pvt Lted Khairthal,Purchase,94,,201287
,Purchase Account,,,201287.00 Dr,
02-08-2025,Convence Expensece,Payment,546,3000,
,Cash,,,,3000.00 Cr
02-08-2025,Tour & Travel,Payment,547,1470,
,Cash,,,,1470.00 Cr
02-08-2025,Wages Expenses A/C,Payment,548,7100,
,Cash,,,,7100.00 Cr
02-08-2025,Natural Guar Gum Pvt Lted Khairthal,Payment,549,201287,
,HDFC Bank,,,,201287.00 Cr
02-08-2025,Mahesh Pashu Aahar  Doaultpura,Receipt,486,,2000
,Cash,,,2000.00 Dr,
02-08-2025,Godha Enterprises (Hingoniya),Receipt,487,,9500
,Cash,,,9500.00 Dr,
02-08-2025,Jain & Brothers - Muhana Mandi,Receipt,488,,62717
,HDFC Bank,,,62717.00 Dr,
02-08-2025,Greenfield,Sales,2718/25-26,183160,
,Sales Account,,,,183160.00 Cr
03-08-2025,Godha Enterprises (Hingoniya),Receipt,489,,9500
,Cash,,,9500.00 Dr,
03-08-2025,Ishwar and Company Surajpool,Sales,2719/25-26,78750,
,Sales Account,,,,78750.00 Cr
04-08-2025,Wages Expenses A/C,Payment,550,7650,
,Cash,,,,7650.00 Cr
04-08-2025,Tour & Travel,Payment,551,2400,
,Cash,,,,2400.00 Cr
04-08-2025,BANK  EXPENSES - HDFC BANK,Payment,552,590,
,HDFC Bank,,,,590.00 Cr
04-08-2025,Shyam Khandelwal Jaipur,Receipt,490,,60940
,HDFC Bank,,,60940.00 Dr,
04-08-2025,S Kumar & Company - Navalgarh,Receipt,491,,50000
,HDFC Bank,,,50000.00 Dr,
04-08-2025,Jamidara Treding Company Chidawa,Receipt,492,,5000
,HDFC Bank,,,5000.00 Dr,
04-08-2025,Choudhary Pashu Aahar  Parbatsar,Receipt,493,,25000
,HDFC Bank,,,25000.00 Dr,
04-08-2025,Godha Enterprises (Hingoniya),Receipt,494,,9500
,Cash,,,9500.00 Dr,
04-08-2025,Uttam Agencies Sambriya,Sales,2720/25-26,47492,
,Sales Account,,,,47492.00 Cr
05-08-2025,Wages Expenses A/C,Payment,553,7600,
,Cash,,,,7600.00 Cr
05-08-2025,Tour & Travel,Payment,554,1850,
,Cash,,,,1850.00 Cr
05-08-2025,Office Expenses,Payment,555,155,
,Cash,,,,155.00 Cr
05-08-2025,Shri Shyam Baat Bhandar (Bad Ke Bala Ji ),Receipt,495,,13213
,HDFC Bank,,,13213.00 Dr,
05-08-2025,Godha Enterprises (Hingoniya),Receipt,496,,9500
,Cash,,,9500.00 Dr,
05-08-2025,Vinayak Brothers - Renwal,Sales,2721/25-26,91840,
,Sales Account,,,,91840.00 Cr
05-08-2025,Shri Shyam Baat Bhandar (Bad Ke Bala Ji ),Sales,2722/25-26,31850,
,Sales Account,,,,31850.00 Cr
05-08-2025,Kharwash Trading Company (Muhana ),Sales,2723/25-26,64075,
,Sales Account,,,,64075.00 Cr
05-08-2025,"Kailash Chand Deen Dayal - Kasera, Shreemodhopur",Sales,2724/25-26,26955,
,Sales Account,,,,26955.00 Cr
06-08-2025,Wages Expenses A/C,Payment,556,7650,
,Cash,,,,7650.00 Cr
06-08-2025,Tour & Travel,Payment,557,2000,
,Cash,,,,2000.00 Cr
06-08-2025,J.S. Packers - Jaipur,Payment,558,41440,
,HDFC Bank,,,,41440.00 Cr
06-08-2025,Kharwash Trading Company (Muhana ),Receipt,497,,547284
,HDFC Bank,,,547284.00 Dr,
06-08-2025,Godha Enterprises (Hingoniya),Receipt,498,,9500
,Cash,,,9500.00 Dr,
06-08-2025,Haritwal Pashu Ahar Vatika,Sales,2725/25-26,72870,
,Sales Account,,,,72870.00 Cr
06-08-2025,Balaji Indastrises  Didwana,Sales,2726/25-26,66040,
,Sales Account,,,,66040.00 Cr
06-08-2025,S M Sales Corporation  Jaipur,Purchase,95,,3822
,Purchase Account,,,3822.00 Dr,
06-08-2025,Mangal Treding Company Kukerkheda Mhandi,Purchase,96,,7428.48
,Purchase Account,,,7073.00 Dr,
,CGST-Tax,,,177.74 Dr,
,SGST-Tax,,,177.74 Dr,
06-08-2025,DILIP UDYOUG,Purchase,97,,40986
,Purchase Account,,,40986.00 Dr,
07-08-2025,Nilesh Kumar Khandelwal,Payment,559,9500,
,Vijay Kumar Khandelwal,,,9500.00 Dr,
,Priyanka Devi Khandelwal,,,9500.00 Dr,
,Vishnu Gupta,,,9500.00 Dr,
,Nitesh,,,9500.00 Dr,
,Pradeep Kumar Gupta,,,9500.00 Dr,
,Raju Lal Ji,,,9500.00 Dr,
,Raju Mistri,,,9500.00 Dr,
,Cash,,,,76000.00 Cr
07-08-2025,Wages Expenses A/C,Payment,560,7550,
,Cash,,,,7550.00 Cr
07-08-2025,Convence Expensece,Payment,561,3000,
,Cash,,,,3000.00 Cr
07-08-2025,Shri Hari Shanker Khandelwal,Payment,562,9000,
,Cash,,,,9000.00 Cr
07-08-2025,Godha Enterprises (Hingoniya),Receipt,499,,9500
,Cash,,,9500.00 Dr,
07-08-2025,"Kailash Chand Deen Dayal - Kasera, Shreemodhopur",Receipt,500,,26900
,Punjab National Bank - New,,,26900.00 Dr,
07-08-2025,Rakesh Kirana Store - Khejroli,Sales,2727/25-26,32964,
,Sales Account,,,,32964.00 Cr
07-08-2025,Kharwash Trading Company (Muhana ),Sales,2728/25-26,57810,
,Sales Account,,,,57810.00 Cr
07-08-2025,Choudhary Pashu Aahar  Parbatsar,Sales,2729/25-26,74775,
,Sales Account,,,,74775.00 Cr
,Loading Exp,,,,
07-08-2025,Rajendra Kumar Pawan Kumar Fhagi,Sales,2730/25-26,28564,
,Sales Account,,,,28564.00 Cr
07-08-2025,Shri Balaji Agro Industries - Muhana,Sales,2731/25-26,26923,
,Sales Account,,,,26923.00 Cr
08-08-2025,Nilesh Kumar Khandelwal,Payment,563,9500,
,Vijay Kumar Khandelwal,,,9500.00 Dr,
,Priyanka Devi Khandelwal,,,9500.00 Dr,
,Pradeep Kumar Gupta,,,8000.00 Dr,
,Raju Lal Gupta,,,4500.00 Dr,
,Vishnu Gupta,,,9500.00 Dr,
,Nitesh,,,9500.00 Dr,
,Raju Mistri,,,4000.00 Dr,
,Cash,,,,64000.00 Cr
08-08-2025,Wages Expenses A/C,Payment,564,7600,
,Cash,,,,7600.00 Cr
08-08-2025,Machinery Reparing,Payment,565,2211,
,Cash,,,,2211.00 Cr
08-08-2025,Mangal Treding Company Kukerkheda Mhandi,Payment,566,4872,
,HDFC Bank,,,,4872.00 Cr
08-08-2025,Arihant  Kumar Rahul Kumar  Medta Seety - S,Receipt,501,,115873
,HDFC Bank,,,115873.00 Dr,
08-08-2025,(cancelled),Receipt,502,,
08-08-2025,Anjani Trading Company  -(Beawar),Receipt,503,,55394
,HDFC Bank,,,55394.00 Dr,
08-08-2025,Godha Enterprises (Hingoniya),Receipt,504,,9500
,Cash,,,9500.00 Dr,
08-08-2025,Shri Shyam Baat Bhandar (Bad Ke Bala Ji ),Receipt,505,,31850
,HDFC Bank,,,31850.00 Dr,
08-08-2025,Shri Shyam Baat Bhandar (Bad Ke Bala Ji ),Sales,2732/25-26,17535,
,Sales Account,,,,17535.00 Cr
08-08-2025,Lavik Traders,Sales,2733/25-26,38596,
,Sales Account,,,,38596.00 Cr
08-08-2025,Jain & Brothers - Muhana Mandi,Sales,2734/25-26,62716,
,Sales Account,,,,62716.00 Cr
08-08-2025,Sunny Industries Sitapura Jaipur,Purchase,98,,31560
,Purchase Account,,,31560.00 Dr,
08-08-2025,Ramkishor Pawan Kumar-Surajpool,Purchase,99,,26460
,Purchase Account,,,26460.00 Dr,
09-08-2025,Wages Expenses A/C,Payment,567,7650,
,Cash,,,,7650.00 Cr
09-08-2025,Office Expenses,Payment,568,2650,
,Cash,,,,2650.00 Cr
09-08-2025,Godha Enterprises (Hingoniya),Receipt,506,,9500
,Cash,,,9500.00 Dr,
10-08-2025,Rajendra Kumar Pawan Kumar Fhagi,Receipt,507,,28564
,HDFC Bank,,,28564.00 Dr,
10-08-2025,Shri Balaji Agro Industries - Muhana,Receipt,508,,21387
,HDFC Bank,,,21387.00 Dr,
10-08-2025,Godha Enterprises (Hingoniya),Receipt,509,,9500
,Cash,,,9500.00 Dr,
11-08-2025,Wages Expenses A/C,Payment,569,7600,
,Cash,,,,7600.00 Cr
11-08-2025,Tour & Travel,Payment,570,2000,
